,Gryllus_bimaculatus,Gryllus_campestris,Halyomorpha,Melolontha_melolontha,Myzus,Nezara,Trialeurodes,Tuta
Gryllus_bimaculatus,365,14,0,0,0,1,0,0
Gryllus_campestris,1,428,0,0,0,1,0,0
Halyomorpha,0,0,338,0,11,48,10,23
Melolontha_melolontha,0,0,0,429,0,0,0,1
Myzus,0,0,14,0,168,15,7,16
Nezara,0,0,61,0,13,325,7,24
Trialeurodes,0,0,13,1,4,10,171,11
Tuta,0,0,18,0,5,28,11,218
