Epoch,LR,Train_Loss,Accuracy,Precision_micro,Precision_macro,Precision_w,Recall_micro,Recall_macro,Recall_w,F1_micro,F1_macro,F1_w,AUC_macro_ovr
1,0.0001,1.355298439887437,0.5903914590747331,0.5903914590747331,0.5434350679900247,0.5865039356059466,0.5903914590747331,0.5131392169641864,0.5903914590747331,0.5903914590747331,0.49239100510199313,0.5568275536245785,0.0
2,0.0001,0.9098860770463943,0.6672597864768683,0.6672597864768683,0.6478527387091344,0.6767571241467455,0.6672597864768683,0.6093853323848734,0.6672597864768683,0.6672597864768683,0.6062544234776402,0.654217503704802,0.0
3,0.0001,0.791221942667934,0.698576512455516,0.698576512455516,0.6768655626659876,0.7067555574878962,0.698576512455516,0.6578807616292316,0.698576512455516,0.698576512455516,0.6553977100540975,0.6905169391161751,0.0
4,0.0001,0.7219836880368266,0.7209964412811388,0.7209964412811388,0.6986984811404724,0.7273292360899802,0.7209964412811388,0.6964352775437537,0.7209964412811388,0.7209964412811388,0.6915325732669686,0.7185703010075086,0.0
5,0.0001,0.6661987126042898,0.7526690391459074,0.7526690391459074,0.7382362127614285,0.758451883394025,0.7526690391459074,0.719264930296142,0.7526690391459074,0.7526690391459074,0.7251234888264351,0.7531849702089013,0.0
6,0.0001,0.6209900755943223,0.7622775800711744,0.7622775800711744,0.7464044035739402,0.7682741402850678,0.7622775800711744,0.7303880406619085,0.7622775800711744,0.7622775800711744,0.7348740885148387,0.761360953406354,0.0
7,0.0001,0.5760348520495675,0.7658362989323844,0.7658362989323844,0.7578269857371009,0.7842261360826357,0.7658362989323844,0.7380091845628871,0.7658362989323844,0.7658362989323844,0.7358986271487866,0.7627465400369522,0.0
8,0.0001,0.5511127105829391,0.7829181494661922,0.7829181494661922,0.7591666085296068,0.7874267200541936,0.7829181494661922,0.7556950151541646,0.7829181494661922,0.7829181494661922,0.754914397118405,0.7827637225081506,0.0
9,0.0001,0.5232222118330273,0.7782918149466193,0.7782918149466193,0.7617542530233365,0.7885959931996015,0.7782918149466193,0.7506250430516036,0.7782918149466193,0.7782918149466193,0.7504630901445525,0.7771551451672982,0.0
10,0.0001,0.4957832627167756,0.796797153024911,0.796797153024911,0.7760286995206922,0.8027023436477319,0.796797153024911,0.7725290200925146,0.796797153024911,0.796797153024911,0.7709897298573855,0.79657032910238,0.0
11,0.0001,0.4672290590507063,0.804982206405694,0.804982206405694,0.783251179741099,0.8093482974759425,0.804982206405694,0.7872858017135863,0.804982206405694,0.804982206405694,0.7823243343739155,0.8048885562691603,0.0
12,0.0001,0.4442287466319447,0.808185053380783,0.808185053380783,0.7898065338596167,0.8097967776126449,0.808185053380783,0.7857616424782887,0.808185053380783,0.808185053380783,0.7870379646348074,0.808416725184283,0.0
13,0.0001,0.42534715369005094,0.8096085409252669,0.8096085409252669,0.7986007491350655,0.8177094567126413,0.8096085409252669,0.7881282388052584,0.8096085409252669,0.8096085409252669,0.7887329354895354,0.8081859483118708,0.0
14,0.0001,0.4020515935580162,0.808185053380783,0.808185053380783,0.8027525668921036,0.8160417159136043,0.808185053380783,0.7780759542884695,0.808185053380783,0.808185053380783,0.78379066873557,0.8072237730519233,0.0
15,0.0001,0.38559946460141376,0.8113879003558719,0.8113879003558719,0.7993197379329389,0.815312869798632,0.8113879003558719,0.7854579299729239,0.8113879003558719,0.8113879003558718,0.7897597984117276,0.8107534839197633,0.0
16,0.0001,0.37229199313812633,0.8241992882562278,0.8241992882562278,0.8049105770530782,0.831853919443242,0.8241992882562278,0.8099155956752346,0.8241992882562278,0.8241992882562278,0.8031604530006538,0.8239469601911186,0.0
17,0.0001,0.357162591133436,0.8209964412811388,0.8209964412811388,0.817057957213579,0.8275757684690961,0.8209964412811388,0.7913110769789167,0.8209964412811388,0.8209964412811388,0.799528125341037,0.8211673416213787,0.0
18,0.0001,0.3336616427510638,0.8298932384341637,0.8298932384341637,0.8087651951025137,0.8386001668336353,0.8298932384341637,0.8189794484890874,0.8298932384341637,0.8298932384341636,0.8090562978380582,0.8303635718536303,0.0
19,0.0001,0.32647645338015124,0.8316725978647687,0.8316725978647687,0.823597313590438,0.8377367009806936,0.8316725978647687,0.8097591858875519,0.8316725978647687,0.8316725978647687,0.8119569237299179,0.8314570903299406,0.0
20,0.0001,0.3060343697540123,0.8359430604982206,0.8359430604982206,0.8199656462009214,0.8378792967489629,0.8359430604982206,0.8194989985534662,0.8359430604982206,0.8359430604982206,0.8186796453713197,0.8360478049258065,0.0
21,0.0001,0.2949623648839241,0.8306049822064057,0.8306049822064057,0.8260645679010132,0.8357878552683286,0.8306049822064057,0.8082055197454525,0.8306049822064057,0.8306049822064057,0.8139294351633797,0.830450293400687,0.0
22,0.0001,0.27391319771678274,0.8416370106761566,0.8416370106761566,0.8359058565650759,0.8457665149325779,0.8416370106761566,0.8210959812321501,0.8416370106761566,0.8416370106761567,0.8263806378143996,0.8422334227738608,0.0
23,0.0001,0.2640712539961731,0.8206405693950178,0.8206405693950178,0.8346456591370648,0.8415563780372158,0.8206405693950178,0.7984007157163522,0.8206405693950178,0.8206405693950177,0.8069706694118548,0.820337012744428,0.0
24,0.0001,0.2566737709249454,0.8473309608540925,0.8473309608540925,0.8443348945042068,0.8513686410136039,0.8473309608540925,0.823875641137728,0.8473309608540925,0.8473309608540925,0.83199563951607,0.8474810762678142,0.0
25,0.0001,0.2517551315567372,0.8462633451957295,0.8462633451957295,0.831161867094433,0.8491245392303258,0.8462633451957295,0.833098503393791,0.8462633451957295,0.8462633451957297,0.8309456256762462,0.8464320583993122,0.0
26,0.0001,0.2288700341543352,0.8377224199288256,0.8377224199288256,0.8355760445605269,0.8430547633133487,0.8377224199288256,0.8172323812967938,0.8377224199288256,0.8377224199288257,0.8240045599666093,0.8380090878785805,0.0
27,0.0001,0.2286076471950351,0.8412811387900356,0.8412811387900356,0.8299539712765772,0.8438546621272226,0.8412811387900356,0.8245615194169356,0.8412811387900356,0.8412811387900357,0.8250283310595417,0.8407319417444974,0.0
28,0.0001,0.21704878500366415,0.8548042704626334,0.8548042704626334,0.8472790149696945,0.8593068879082861,0.8548042704626334,0.8359534870474283,0.8548042704626334,0.8548042704626334,0.8397385816010186,0.8553106494698709,0.0
29,0.0001,0.20077113580720668,0.8558718861209964,0.8558718861209964,0.8393799154004249,0.8564802067004607,0.8558718861209964,0.8402704203691046,0.8558718861209964,0.8558718861209964,0.8394218527537443,0.8558222037304439,0.0
30,0.0001,0.19567845759659327,0.8533807829181494,0.8533807829181494,0.8365325234695041,0.8543357453685585,0.8533807829181494,0.8388460415043952,0.8533807829181494,0.8533807829181494,0.8373395125982634,0.8536080580448914,0.0
31,0.0001,0.18461836166468196,0.8544483985765124,0.8544483985765124,0.8426203366663663,0.8566485995970405,0.8544483985765124,0.8396086841045531,0.8544483985765124,0.8544483985765124,0.8402211498262574,0.8547450096861506,0.0
32,0.0001,0.17726096493954008,0.8469750889679716,0.8469750889679716,0.8263855704648573,0.8494003571879681,0.8469750889679716,0.8330485469752607,0.8469750889679716,0.8469750889679716,0.8283913572531919,0.8472473550160242,0.0
33,0.0001,0.1795186709019948,0.8576512455516014,0.8576512455516014,0.8439016289471514,0.8588072901350272,0.8576512455516014,0.8419610568440128,0.8576512455516014,0.8576512455516013,0.8419231471089695,0.8574113726350399,0.0
34,0.0001,0.15539261905095456,0.8508896797153025,0.8508896797153025,0.8448004233370021,0.8547358716480667,0.8508896797153025,0.8323238229029233,0.8508896797153025,0.8508896797153026,0.8358595139388154,0.8509952798997598,0.0
35,0.0001,0.1520906408973546,0.8512455516014235,0.8512455516014235,0.8334119057572047,0.8531425997933589,0.8512455516014235,0.8372658986260577,0.8512455516014235,0.8512455516014235,0.834344225750168,0.851481991127874,0.0
36,0.0001,0.1459644795395434,0.8604982206405694,0.8604982206405694,0.8469552308798898,0.8622991804841557,0.8604982206405694,0.8473187792419739,0.8604982206405694,0.8604982206405694,0.8465622435163807,0.860897987833161,0.0
37,0.0001,0.14560495157175782,0.8523131672597865,0.8523131672597865,0.8476582509454781,0.8590123447093314,0.8523131672597865,0.833964320817901,0.8523131672597865,0.8523131672597865,0.8374695010320992,0.8532683504260129,0.0
38,0.0001,0.13788165671708572,0.8555160142348754,0.8555160142348754,0.8465800020483137,0.857750037839183,0.8555160142348754,0.8399834814308499,0.8555160142348754,0.8555160142348756,0.8427099735925536,0.8561014607669639,0.0
39,0.0001,0.14462594438174908,0.8533807829181494,0.8533807829181494,0.8516669277793475,0.8602276095200506,0.8533807829181494,0.8374012628028846,0.8533807829181494,0.8533807829181494,0.8407018719841419,0.8538532416142306,0.0
40,0.0001,0.12786496480376544,0.8580071174377224,0.8580071174377224,0.8476451551346144,0.8602717824423749,0.8580071174377224,0.8443868988009134,0.8580071174377224,0.8580071174377224,0.8443660583952297,0.8579450210988259,0.0
41,0.0001,0.1248956279702146,0.8590747330960854,0.8590747330960854,0.8485888884362174,0.8605938601887059,0.8590747330960854,0.8414812798380729,0.8590747330960854,0.8590747330960854,0.8444372709120805,0.8593857519273308,0.0
42,0.0001,0.11617030715569854,0.8558718861209964,0.8558718861209964,0.8454661806376955,0.85651766530979,0.8558718861209964,0.8430583594292285,0.8558718861209964,0.8558718861209964,0.8441300021678674,0.8560500578846569,0.0
43,2e-05,0.09487563570622694,0.8637010676156583,0.8637010676156583,0.8574261116144436,0.8655929005500601,0.8637010676156583,0.8484337164263724,0.8637010676156583,0.8637010676156583,0.8519802441169891,0.8638810273978665,0.0
44,2e-05,0.08317157132974402,0.8654804270462634,0.8654804270462634,0.8558706164834593,0.8666723750682062,0.8654804270462634,0.8519899941449819,0.8654804270462634,0.8654804270462634,0.8533999575227518,0.8655804380711327,0.0
45,2e-05,0.09006107342429459,0.8661921708185053,0.8661921708185053,0.8577011811409455,0.8670722481309456,0.8661921708185053,0.852506000731215,0.8661921708185053,0.8661921708185053,0.8547454864658668,0.8663712564762314,0.0
46,2e-05,0.08600951833862135,0.8633451957295374,0.8633451957295374,0.8540879991571714,0.8639145716382438,0.8633451957295374,0.8490814443614321,0.8633451957295374,0.8633451957295374,0.8513688337763363,0.8634196651641713,0.0
47,2e-05,0.08002291318156164,0.8622775800711744,0.8622775800711744,0.8576205483365802,0.8654408617688815,0.8622775800711744,0.8474106447408161,0.8622775800711744,0.8622775800711743,0.8505182462081162,0.8623182118849837,0.0
48,2e-05,0.08151644008996134,0.8612099644128114,0.8612099644128114,0.8508413871686873,0.8620533717591954,0.8612099644128114,0.8482241379081954,0.8612099644128114,0.8612099644128114,0.8490149464818658,0.8612652164902869,0.0
49,2e-05,0.08255910434209826,0.8633451957295374,0.8633451957295374,0.853743226315856,0.8644577719438246,0.8633451957295374,0.8495787400583912,0.8633451957295374,0.8633451957295374,0.8510158232341193,0.8633946018814294,0.0
50,2e-05,0.08368364803027362,0.8647686832740213,0.8647686832740213,0.8543144281780984,0.8653324358689929,0.8647686832740213,0.851500646436387,0.8647686832740213,0.8647686832740215,0.8526184256044977,0.8647917182296158,0.0
51,2e-05,0.07813709223939275,0.8608540925266904,0.8608540925266904,0.8496068059361799,0.8620248451236188,0.8608540925266904,0.8493582827311408,0.8608540925266904,0.8608540925266904,0.8490700212795599,0.8610217160050222,0.0
52,4.000000000000001e-06,0.07125059542754157,0.8633451957295374,0.8633451957295374,0.8513289168265972,0.8641968617844787,0.8633451957295374,0.850989855717518,0.8633451957295374,0.8633451957295374,0.8504998609050228,0.8633262391149199,0.0
