Epoch,LR,Train_Loss,Accuracy,Precision_micro,Precision_macro,Precision_w,Recall_micro,Recall_macro,Recall_w,F1_micro,F1_macro,F1_w,AUC_macro_ovr
1,0.0001,0.9697948182848367,0.7316725978647687,0.7316725978647687,0.7639986431711241,0.7782199064576268,0.7316725978647687,0.6873409905577899,0.7316725978647687,0.7316725978647688,0.6946767125560125,0.7227848890918143,0.0
2,0.0001,0.616957288235426,0.800711743772242,0.800711743772242,0.813063735395374,0.817254061504007,0.800711743772242,0.7637333290944062,0.800711743772242,0.8007117437722421,0.7742960070742282,0.7984027863059235,0.0
3,0.0001,0.5051015698012303,0.8295373665480427,0.8295373665480427,0.8398751911562675,0.8454802740842711,0.8295373665480427,0.8066417530348069,0.8295373665480427,0.8295373665480427,0.8120741369312856,0.829389963250713,0.0
4,0.0001,0.4301646251908757,0.8338078291814947,0.8338078291814947,0.8258307092119237,0.8434163224704959,0.8338078291814947,0.8225770391888814,0.8338078291814947,0.8338078291814947,0.819704453058041,0.8352099661313828,0.0
5,0.0001,0.37459816051308403,0.8569395017793594,0.8569395017793594,0.8502325441431833,0.859752299166623,0.8569395017793594,0.8402279814229019,0.8569395017793594,0.8569395017793594,0.8440426543346331,0.8573164866633508,0.0
6,0.0001,0.3052425331711261,0.8661921708185053,0.8661921708185053,0.8715450812537362,0.8729168931258791,0.8661921708185053,0.850184194630339,0.8661921708185053,0.8661921708185053,0.8579321249860863,0.866584076237609,0.0
7,0.0001,0.2852557015774602,0.8633451957295374,0.8633451957295374,0.857957091699102,0.868907014482994,0.8633451957295374,0.8505529647321264,0.8633451957295374,0.8633451957295374,0.850636529735511,0.8635017323632925,0.0
8,0.0001,0.2573767540214414,0.8857651245551601,0.8857651245551601,0.8917837202814454,0.8936846156761244,0.8857651245551601,0.8688065135089309,0.8857651245551601,0.8857651245551601,0.8764675432822123,0.8861250698699045,0.0
9,0.0001,0.22063187418759547,0.892526690391459,0.892526690391459,0.8970742663387633,0.8961790432501712,0.892526690391459,0.8780956752345981,0.892526690391459,0.8925266903914592,0.8858566812206974,0.8928784081356482,0.0
10,0.0001,0.20108229521958326,0.8818505338078292,0.8818505338078292,0.8741299393441219,0.8838067573907539,0.8818505338078292,0.870292952916117,0.8818505338078292,0.8818505338078292,0.8710708241837921,0.8817171969268393,0.0
11,0.0001,0.1664450544101948,0.8928825622775801,0.8928825622775801,0.8921008838625906,0.8952606235098224,0.8928825622775801,0.874894308313066,0.8928825622775801,0.8928825622775801,0.881911913848325,0.8926894988992388,0.0
12,0.0001,0.16829287375069477,0.900355871886121,0.900355871886121,0.8903137553450664,0.9009752308132982,0.900355871886121,0.892349448542074,0.900355871886121,0.900355871886121,0.8909549854095699,0.9002617265587981,0.0
13,0.0001,0.15165433588183738,0.8886120996441281,0.8886120996441281,0.8862144461169169,0.8908623831470687,0.8886120996441281,0.8709523379007773,0.8886120996441281,0.8886120996441281,0.8767589892746552,0.888436964335597,0.0
14,0.0001,0.1331417664927854,0.897864768683274,0.897864768683274,0.890423542928097,0.8981733567972204,0.897864768683274,0.8863579568636178,0.897864768683274,0.897864768683274,0.8882516298134128,0.8979096244597771,0.0
15,0.0001,0.1357546221697703,0.8943060498220641,0.8943060498220641,0.8865995196918539,0.8963823440096998,0.8943060498220641,0.8818975954685868,0.8943060498220641,0.8943060498220641,0.8831916622006966,0.8943804555581549,0.0
16,0.0001,0.12148885754868388,0.9103202846975089,0.9103202846975089,0.9065811464742582,0.9106567978785457,0.9103202846975089,0.9026242104998224,0.9103202846975089,0.9103202846975089,0.904485459974693,0.910390193914702,0.0
17,0.0001,0.11467677838465368,0.8911032028469751,0.8911032028469751,0.892761809224837,0.8946689145958001,0.8911032028469751,0.8784360809529108,0.8911032028469751,0.8911032028469751,0.883824109261199,0.891534202166354,0.0
18,0.0001,0.10913483853536574,0.9039145907473309,0.9039145907473309,0.9017337932277052,0.906011495673089,0.9039145907473309,0.8953059180721359,0.9039145907473309,0.9039145907473308,0.8975607443057368,0.9039159826712787,0.0
19,0.0001,0.10473052000584589,0.8964412811387901,0.8964412811387901,0.8838907007729109,0.8989831055469032,0.8964412811387901,0.8911709108924531,0.8964412811387901,0.8964412811387901,0.8859276521669387,0.896437505671979,0.0
20,0.0001,0.10095758325504986,0.900711743772242,0.900711743772242,0.8930420012801461,0.9036349207418177,0.900711743772242,0.8946056340640183,0.900711743772242,0.900711743772242,0.8921416406560236,0.9004702949512958,0.0
21,0.0001,0.09703105193859135,0.904270462633452,0.904270462633452,0.8975662063537933,0.9049780129907959,0.904270462633452,0.8936196033159007,0.904270462633452,0.904270462633452,0.8950707529683803,0.904241400407049,0.0
22,0.0001,0.08992122601590712,0.9039145907473309,0.9039145907473309,0.9091353653651095,0.9115367116392343,0.9039145907473309,0.8936751895595225,0.9039145907473309,0.9039145907473308,0.8982629702105391,0.9044705350595701,0.0
23,2e-05,0.05373160337859934,0.9145907473309609,0.9145907473309609,0.9112509526514928,0.915025796393437,0.9145907473309609,0.9049507853937169,0.9145907473309609,0.914590747330961,0.9078235587875044,0.9146089330841135,0.0
24,2e-05,0.043839314550330695,0.9099644128113878,0.9099644128113878,0.9071636837145178,0.9105667895525933,0.9099644128113878,0.8980127876509456,0.9099644128113878,0.9099644128113878,0.9022087847369717,0.9099898267223883,0.0
25,2e-05,0.03309372548987581,0.9156583629893238,0.9156583629893238,0.9131417258774706,0.9162206267741827,0.9156583629893238,0.9086063467336417,0.9156583629893238,0.9156583629893239,0.9106143330106107,0.9157027024546548,0.0
26,2e-05,0.04214991509533403,0.9163701067615658,0.9163701067615658,0.9133897315894415,0.9169035651324029,0.9163701067615658,0.9087748937618889,0.9163701067615658,0.9163701067615658,0.9108480070743024,0.9163887583741013,0.0
27,2e-05,0.038624595533209766,0.9142348754448398,0.9142348754448398,0.911235539561038,0.914850019474678,0.9142348754448398,0.9066721375319906,0.9142348754448398,0.9142348754448398,0.9086179551486373,0.9142202814578969,0.0
28,2e-05,0.033266733643937514,0.9138790035587189,0.9138790035587189,0.9090716809620056,0.9142646334078748,0.9138790035587189,0.9054086391984189,0.9138790035587189,0.9138790035587189,0.907037253006836,0.9139245479482978,0.0
29,2e-05,0.03407218565487049,0.9138790035587189,0.9138790035587189,0.9088109301772971,0.9143056631890694,0.9138790035587189,0.9075883253323584,0.9138790035587189,0.9138790035587189,0.9079650239575583,0.9138788675900266,0.0
30,2e-05,0.0352652082325552,0.9142348754448398,0.9142348754448398,0.9131888639530854,0.9149879626621765,0.9142348754448398,0.9055572169059012,0.9142348754448398,0.9142348754448398,0.9090642402957656,0.914356084535538,0.0
