Epoch,Accuracy,Precision,Recall,F1-Score
1,0.5322404371584699,0.4366410010690776,0.5322404371584699,0.4312274865710185
1,0.48579234972677593,0.468208548874202,0.48579234972677593,0.3518410392727921
2,0.5644808743169399,0.5388889298792642,0.5644808743169399,0.48375583946853296
3,0.6125683060109289,0.5495865116126314,0.6125683060109289,0.5361793307670119
5,0.6371584699453552,0.6205812467402806,0.6371584699453552,0.5845639276220851
6,0.6693989071038251,0.6363151778027627,0.6693989071038251,0.6095718507986556
8,0.6710382513661202,0.652946487244644,0.6710382513661202,0.6374199438980498
18,0.7060109289617487,0.7263405942761271,0.7060109289617487,0.6717492402105315
19,0.7284153005464481,0.7104397844829282,0.7284153005464481,0.716808718900055
22,0.7502732240437159,0.7311174187348883,0.7502732240437159,0.7368490824754729
26,0.7743169398907104,0.7766569391175147,0.7743169398907104,0.7635172943787103
32,0.7825136612021858,0.792391063306855,0.7825136612021858,0.7808059565195787
34,0.7885245901639344,0.7953997233660449,0.7885245901639344,0.7880186309447915
37,0.8103825136612022,0.8095006570685229,0.8103825136612022,0.8093013317165246
40,0.819672131147541,0.8279553422586798,0.819672131147541,0.8170697108000814
42,0.825136612021858,0.8366416361875405,0.825136612021858,0.8233586286971579
45,0.826775956284153,0.8348661381176137,0.826775956284153,0.8251026843691454
48,0.8497267759562842,0.8551552185757659,0.8497267759562842,0.8494712040109874
1,0.48579234972677593,0.468208548874202,0.48579234972677593,0.3518410392727921
2,0.5644808743169399,0.5388889298792642,0.5644808743169399,0.48375583946853296
3,0.6125683060109289,0.5495865116126314,0.6125683060109289,0.5361793307670119
5,0.6371584699453552,0.6205812467402806,0.6371584699453552,0.5845639276220851
6,0.6693989071038251,0.6363151778027627,0.6693989071038251,0.6095718507986556
8,0.6710382513661202,0.652946487244644,0.6710382513661202,0.6374199438980498
18,0.7060109289617487,0.7263405942761271,0.7060109289617487,0.6717492402105315
19,0.7284153005464481,0.7104397844829282,0.7284153005464481,0.716808718900055
22,0.7502732240437159,0.7311174187348883,0.7502732240437159,0.7368490824754729
26,0.7743169398907104,0.7766569391175147,0.7743169398907104,0.7635172943787103
32,0.7825136612021858,0.792391063306855,0.7825136612021858,0.7808059565195787
34,0.7885245901639344,0.7953997233660449,0.7885245901639344,0.7880186309447915
37,0.8103825136612022,0.8095006570685229,0.8103825136612022,0.8093013317165246
40,0.819672131147541,0.8279553422586798,0.819672131147541,0.8170697108000814
42,0.825136612021858,0.8366416361875405,0.825136612021858,0.8233586286971579
45,0.826775956284153,0.8348661381176137,0.826775956284153,0.8251026843691454
48,0.8497267759562842,0.8551552185757659,0.8497267759562842,0.8494712040109874
53,0.8612021857923498,0.861229899747518,0.8612021857923498,0.8602012712492992
61,0.8677595628415301,0.8693021111355402,0.8677595628415301,0.8662648208143146
63,0.8726775956284153,0.8743709136524759,0.8726775956284153,0.8719631354109904
66,0.8748633879781421,0.880786438249085,0.8748633879781421,0.8748267327834032
73,0.8781420765027322,0.8778479838828126,0.8781420765027322,0.8769912924133668
75,0.8781420765027322,0.8798560557805062,0.8781420765027322,0.8775632024956352
76,0.8786885245901639,0.8804775693263444,0.8786885245901639,0.8780536625485195
77,0.885792349726776,0.8854562483295688,0.885792349726776,0.8848656960937117
78,0.885792349726776,0.8856071308184126,0.885792349726776,0.8849006596587564
80,0.8874316939890711,0.887398234786102,0.8874316939890711,0.8864382465567462
85,0.8885245901639345,0.8877113313478322,0.8885245901639345,0.8877928005963911
88,0.8896174863387978,0.8905821930322564,0.8896174863387978,0.8890856082504546
91,0.8961748633879781,0.8971374428668413,0.8961748633879781,0.8954497602670698
