Epoch,Accuracy,Precision_micro,Precision_macro,Precision_w,Recall_micro,Recall_macro,Recall_w,F1_micro,F1_macro,F1_w,AUC_macro
1,0.5846975088967972,0.5846975088967972,0.5979168770749687,0.6186250494831168,0.5846975088967972,0.5095741964583764,0.5846975088967972,0.5846975088967972,0.4732859967452073,0.5290470035625485,0.0
2,0.6455516014234876,0.6455516014234876,0.602811565733576,0.6798158060455933,0.6455516014234876,0.6217413744456278,0.6455516014234876,0.6455516014234876,0.5664458392634215,0.6186236252439585,0.0
3,0.7377224199288256,0.7377224199288256,0.7180439188359307,0.7523332477065159,0.7377224199288256,0.7146039981030801,0.7377224199288256,0.7377224199288256,0.7067620231051409,0.7378862858327484,0.0
4,0.7213523131672598,0.7213523131672598,0.7520142006892458,0.7521706650537424,0.7213523131672598,0.6527934695353605,0.7213523131672598,0.7213523131672598,0.6597048757645774,0.7069740229995574,0.0
5,0.7761565836298933,0.7761565836298933,0.7802771289476634,0.7920730641585497,0.7761565836298933,0.7416258173181368,0.7761565836298933,0.7761565836298933,0.7485900850044613,0.7744418731044498,0.0
6,0.7733096085409252,0.7733096085409252,0.7685353027566764,0.8024983156763245,0.7733096085409252,0.7615110384311732,0.7733096085409252,0.7733096085409253,0.7415553291891387,0.763060306590623,0.0
7,0.7871886120996441,0.7871886120996441,0.7742688689338186,0.8103430716526101,0.7871886120996441,0.7793082402094029,0.7871886120996441,0.7871886120996442,0.7610253471055133,0.7836782319258001,0.0
8,0.8145907473309608,0.8145907473309608,0.7969092324893099,0.8178752651208819,0.8145907473309608,0.7981731217578831,0.8145907473309608,0.8145907473309609,0.7957319403952156,0.8141584051187969,0.0
9,0.8256227758007118,0.8256227758007118,0.809075955986363,0.8307661834013765,0.8256227758007118,0.8035494391369544,0.8256227758007118,0.8256227758007118,0.802055009354958,0.8254908139570055,0.0
10,0.8355871886120997,0.8355871886120997,0.8366528437101073,0.8450170118853977,0.8355871886120997,0.8162679094671139,0.8355871886120997,0.8355871886120997,0.8172538122905549,0.8345256041349484,0.0
11,0.7861209964412811,0.7861209964412811,0.8280458788510325,0.8360468412814759,0.7861209964412811,0.7690351340825636,0.7861209964412811,0.7861209964412811,0.7656949418844078,0.7747265243127514,0.0
12,0.8494661921708185,0.8494661921708185,0.8374962197039977,0.8520664450232152,0.8494661921708185,0.8353446876970438,0.8494661921708185,0.8494661921708185,0.8350852861496818,0.8493219481871045,0.0
13,0.8487544483985765,0.8487544483985765,0.8394631436880968,0.8551735995013927,0.8487544483985765,0.8318820306580404,0.8487544483985765,0.8487544483985765,0.8306156207996742,0.8478999958718749,0.0
14,0.8597864768683274,0.8597864768683274,0.849045118172746,0.862502279003155,0.8597864768683274,0.8473571448441399,0.8597864768683274,0.8597864768683275,0.8452677421706254,0.8591675298682221,0.0
15,0.8508896797153025,0.8508896797153025,0.8418098688668194,0.8530363831344161,0.8508896797153025,0.8376293700689356,0.8508896797153025,0.8508896797153026,0.8387018420537197,0.8507782219938456,0.0
16,0.8565836298932384,0.8565836298932384,0.8520905063639471,0.8584586874942279,0.8565836298932384,0.8422696540505599,0.8565836298932384,0.8565836298932384,0.8456421031277197,0.8564790180838057,0.0
17,0.8494661921708185,0.8494661921708185,0.8610280644030409,0.8625079129733707,0.8494661921708185,0.8345468255734474,0.8494661921708185,0.8494661921708185,0.8417033874789184,0.8493154913976962,0.0
18,0.8523131672597865,0.8523131672597865,0.8393818206493999,0.8601371827606725,0.8523131672597865,0.8496786363371431,0.8523131672597865,0.8523131672597865,0.840034732272678,0.851944389693795,0.0
19,0.8373665480427046,0.8373665480427046,0.8771257101253565,0.8739056568895187,0.8373665480427046,0.8160125472242975,0.8373665480427046,0.8373665480427046,0.8299344778663018,0.8378168763480658,0.0
20,0.8743772241992882,0.8743772241992882,0.86206224793194,0.8764160905380077,0.8743772241992882,0.8690318720956727,0.8743772241992882,0.8743772241992882,0.864241268605147,0.8744568544729168,0.0
21,0.8544483985765124,0.8544483985765124,0.8609308575422785,0.8637273903243066,0.8544483985765124,0.836150415017459,0.8544483985765124,0.8544483985765124,0.8429969949757912,0.8547420482198689,0.0
22,0.8498220640569395,0.8498220640569395,0.869180638895166,0.8640785218511656,0.8498220640569395,0.8235517771701982,0.8498220640569395,0.8498220640569395,0.8384617278853999,0.8500311263880949,0.0
23,0.8644128113879004,0.8644128113879004,0.8610136473126162,0.871494912795493,0.8644128113879004,0.8562758806371107,0.8644128113879004,0.8644128113879005,0.853788737312718,0.8631167703932564,0.0
24,0.8512455516014235,0.8512455516014235,0.8577668010197939,0.8637104764252562,0.8512455516014235,0.8277317401590657,0.8512455516014235,0.8512455516014235,0.8340269473295135,0.8511747371097286,0.0
25,0.8533807829181494,0.8533807829181494,0.8699824715781981,0.8806717843668571,0.8533807829181494,0.8412881437208242,0.8533807829181494,0.8533807829181494,0.8428148592043423,0.8567119583966076,0.0
26,0.895017793594306,0.895017793594306,0.8862282758585138,0.8951200582642019,0.895017793594306,0.8847380906017686,0.895017793594306,0.895017793594306,0.8853252004224186,0.8949123102988283,0.0
27,0.8775800711743772,0.8775800711743772,0.8934048312717375,0.8909945214425281,0.8775800711743772,0.8587042891319207,0.8775800711743772,0.8775800711743772,0.8701665742815712,0.8785396395182458,0.0
28,0.8818505338078292,0.8818505338078292,0.878401469899511,0.8835762711200749,0.8818505338078292,0.8685501246509508,0.8818505338078292,0.8818505338078292,0.8724522467601274,0.8817480036604475,0.0
