,Gryllus_bimaculatus,Gryllus_campestris,Halyomorpha,Melolontha_melolontha,Myzus,Nezara,Trialeurodes,Tuta
Gryllus_bimaculatus,375,4,0,0,0,0,0,1
Gryllus_campestris,2,428,0,0,0,0,0,0
Halyomorpha,1,0,368,1,7,37,7,9
Melolontha_melolontha,1,0,0,429,0,0,0,0
Myzus,0,0,9,0,193,11,1,6
Nezara,0,0,28,0,3,380,5,14
Trialeurodes,0,0,5,0,3,6,186,10
Tuta,0,0,13,0,7,14,6,240
