,Gryllus_bimaculatus,Gryllus_campestris,Halyomorpha,Melolontha_melolontha,Myzus,Nezara,Trialeurodes,Tuta
Gryllus_bimaculatus,375,4,0,1,0,0,0,0
Gryllus_campestris,4,426,0,0,0,0,0,0
Halyomorpha,1,0,354,1,9,48,3,14
Melolontha_melolontha,0,0,0,430,0,0,0,0
Myzus,0,0,9,1,187,11,6,6
Nezara,0,0,40,0,10,360,4,16
Trialeurodes,0,0,11,0,3,2,183,11
Tuta,0,0,13,0,3,8,5,251
