Epoch,LR,Train_Loss,Accuracy,Precision_micro,Precision_macro,Precision_w,Recall_micro,Recall_macro,Recall_w,F1_micro,F1_macro,F1_w,AUC_macro_ovr
1,0.0001,1.1153335295278917,0.7220640569395018,0.7220640569395018,0.6983708175119838,0.7258183398847771,0.7220640569395018,0.6833504049500072,0.7220640569395018,0.7220640569395019,0.6861201012489183,0.7196124431983038,0.0
2,0.0001,0.7266953209076416,0.7672597864768683,0.7672597864768683,0.7550396872838117,0.770842425166072,0.7672597864768683,0.7331664421359954,0.7672597864768683,0.7672597864768683,0.7402172522861358,0.7659874718377755,0.0
3,0.0001,0.6143758873539892,0.796085409252669,0.796085409252669,0.7904317975451984,0.8041430871264105,0.796085409252669,0.7708983081382101,0.796085409252669,0.7960854092526691,0.7750732590323434,0.7948940658953627,0.0
4,0.0001,0.5428522194481709,0.8209964412811388,0.8209964412811388,0.7978345334177588,0.8252631638501462,0.8209964412811388,0.8061325022386834,0.8209964412811388,0.8209964412811388,0.7997142423317389,0.8211710366208869,0.0
5,0.0001,0.48933705187995324,0.8263345195729538,0.8263345195729538,0.8128656891761467,0.8316008869680531,0.8263345195729538,0.8084429658978313,0.8263345195729538,0.8263345195729538,0.807868313653071,0.8262231128344346,0.0
6,0.0001,0.44372376249256457,0.8409252669039146,0.8409252669039146,0.8400759192772724,0.8469837688511757,0.8409252669039146,0.8220876583636682,0.8409252669039146,0.8409252669039146,0.8275332913813971,0.8407729639750411,0.0
7,0.0001,0.41472402488050814,0.8533807829181494,0.8533807829181494,0.8377738692072255,0.8559993864329407,0.8533807829181494,0.8416798967556312,0.8533807829181494,0.8533807829181494,0.8380701054532893,0.8535031592397845,0.0
8,0.0001,0.3739737052343447,0.8551601423487545,0.8551601423487545,0.8389235069624341,0.8603845013591943,0.8551601423487545,0.8498098112617697,0.8551601423487545,0.8551601423487546,0.8409920148933916,0.8550659261673824,0.0
9,0.0001,0.3514388005291535,0.8594306049822064,0.8594306049822064,0.8528422606614692,0.8623242092525221,0.8594306049822064,0.843827062370514,0.8594306049822064,0.8594306049822064,0.8467632520124304,0.8594615814614067,0.0
10,0.0001,0.3174460704269057,0.8701067615658363,0.8701067615658363,0.860510351132814,0.8712671568586972,0.8701067615658363,0.8583001173652949,0.8701067615658363,0.8701067615658363,0.8587690587626854,0.8701174762284349,0.0
11,0.0001,0.2894439092752608,0.8786476868327402,0.8786476868327402,0.8756986933364078,0.8830102051689045,0.8786476868327402,0.8657461405893168,0.8786476868327402,0.8786476868327403,0.8682983239213519,0.8788158963260095,0.0
12,0.0001,0.28329070935830136,0.8800711743772242,0.8800711743772242,0.8778359659239239,0.8831655720567404,0.8800711743772242,0.8660870430569023,0.8800711743772242,0.8800711743772242,0.8703268897564798,0.8801837251070638,0.0
13,0.0001,0.2471432661193169,0.8772241992882562,0.8772241992882562,0.8666172977589869,0.8784098584577151,0.8772241992882562,0.8714068469270427,0.8772241992882562,0.8772241992882562,0.8681175963941743,0.8770093618346203,0.0
14,0.0001,0.2375641897405413,0.8861209964412812,0.8861209964412812,0.8783759308148799,0.8862443613190926,0.8861209964412812,0.876409012753872,0.8861209964412812,0.8861209964412812,0.8771946592540427,0.8859948211958829,0.0
15,0.0001,0.2251097809375179,0.8839857651245552,0.8839857651245552,0.8794995962112706,0.8864986534187289,0.8839857651245552,0.8747984025868053,0.8839857651245552,0.8839857651245552,0.8755913847112146,0.8836059884307778,0.0
16,0.0001,0.21356287070507693,0.8868327402135231,0.8868327402135231,0.8857712551312628,0.8899471110263739,0.8868327402135231,0.8758632177695825,0.8868327402135231,0.8868327402135231,0.8791997999128552,0.8867988573417395,0.0
17,0.0001,0.19152271819554947,0.8889679715302491,0.8889679715302491,0.8806713157704982,0.8919723271948443,0.8889679715302491,0.8788324040810271,0.8889679715302491,0.8889679715302491,0.87818320692515,0.8892134019674169,0.0
18,0.0001,0.18066423051905903,0.8879003558718861,0.8879003558718861,0.8840673983140539,0.8887531866427381,0.8879003558718861,0.8780878928293249,0.8879003558718861,0.8879003558718862,0.8807698756863487,0.8880122540058264,0.0
19,0.0001,0.1662397330563346,0.8857651245551601,0.8857651245551601,0.8822489280596539,0.8903469637866777,0.8857651245551601,0.8762458306177707,0.8857651245551601,0.8857651245551601,0.8769339179267661,0.8860873544200975,0.0
20,0.0001,0.16358367099680685,0.8829181494661922,0.8829181494661922,0.868977968690843,0.8837073668343276,0.8829181494661922,0.8745182691135873,0.8829181494661922,0.8829181494661923,0.8711136479673249,0.8827689884411695,0.0
21,0.0001,0.15828608031469313,0.892526690391459,0.892526690391459,0.8873312843737214,0.8930375633032357,0.892526690391459,0.8845821113301224,0.892526690391459,0.8925266903914592,0.8856644815127223,0.8924774202411273,0.0
22,0.0001,0.14896896366156975,0.8953736654804271,0.8953736654804271,0.885148370604355,0.8956617973719155,0.8953736654804271,0.888882552575943,0.8953736654804271,0.8953736654804271,0.8866704394154229,0.8952609164567629,0.0
23,0.0001,0.14629972585349937,0.8943060498220641,0.8943060498220641,0.8892547888345479,0.895489808727716,0.8943060498220641,0.8840933597206547,0.8943060498220641,0.8943060498220641,0.8857552594271303,0.8942381063836893,0.0
24,0.0001,0.1347924876767634,0.892526690391459,0.892526690391459,0.8886581950759029,0.8943103227527262,0.892526690391459,0.8830434635743694,0.892526690391459,0.8925266903914592,0.8849192226867486,0.8925339555083809,0.0
25,0.0001,0.1359782323706895,0.8882562277580072,0.8882562277580072,0.8866741217335534,0.891294352858987,0.8882562277580072,0.8783990731320903,0.8882562277580072,0.8882562277580072,0.8806172371987733,0.8882384956730093,0.0
26,0.0001,0.1250007429731671,0.8943060498220641,0.8943060498220641,0.8889585779361504,0.8947487971527361,0.8943060498220641,0.8880698707657092,0.8943060498220641,0.8943060498220641,0.8881619113440979,0.8942392213257798,0.0
27,0.0001,0.12605377575594254,0.8985765124555161,0.8985765124555161,0.8922386865987472,0.901445387648137,0.8985765124555161,0.8904831284076999,0.8985765124555161,0.8985765124555161,0.8896978751216728,0.8984262175658703,0.0
28,0.0001,0.11828140223356472,0.900355871886121,0.900355871886121,0.8948090149023324,0.9011594332192152,0.900355871886121,0.8948619898053802,0.900355871886121,0.900355871886121,0.8941996479552785,0.9002433428084382,0.0
29,0.0001,0.11287435646888545,0.902135231316726,0.902135231316726,0.9026988474742277,0.9036893855012458,0.902135231316726,0.8895037706581463,0.902135231316726,0.902135231316726,0.8951673062519815,0.9021907340940876,0.0
30,0.0001,0.11804039851466025,0.8896797153024911,0.8896797153024911,0.8811568187716166,0.8910239882934399,0.8896797153024911,0.8812002257228696,0.8896797153024911,0.8896797153024911,0.8803202813651005,0.889486312754781,0.0
31,0.0001,0.10586256048091772,0.8943060498220641,0.8943060498220641,0.8846192251687985,0.895141539398721,0.8943060498220641,0.887133233453613,0.8943060498220641,0.8943060498220641,0.8852310041020468,0.8943023606486648,0.0
32,0.0001,0.09718205147973177,0.8932384341637011,0.8932384341637011,0.8894795072468107,0.8935846997277596,0.8932384341637011,0.884846183243521,0.8932384341637011,0.8932384341637011,0.8869288267187223,0.8932429648486288,0.0
33,0.0001,0.10306264648467979,0.8964412811387901,0.8964412811387901,0.8923567842015873,0.8966245350092419,0.8964412811387901,0.8885787738373417,0.8964412811387901,0.8964412811387901,0.8903549587432751,0.8964366192995502,0.0
34,0.0001,0.1006276960357685,0.9028469750889679,0.9028469750889679,0.902509023995779,0.9045337415406421,0.9028469750889679,0.8956312060542477,0.9028469750889679,0.9028469750889679,0.8981525395850001,0.9030420503339621,0.0
35,0.0001,0.09099771125792441,0.900711743772242,0.900711743772242,0.8926659688271462,0.9008853341964331,0.900711743772242,0.8936564124370122,0.900711743772242,0.900711743772242,0.8929902350849015,0.9006443185840455,0.0
36,0.0001,0.08893051140264353,0.896797153024911,0.896797153024911,0.8963596075291731,0.898538391435305,0.896797153024911,0.8867482030922973,0.896797153024911,0.8967971530249111,0.890523505906071,0.8969672685109955,0.0
