Epoch,Accuracy,Precision,Recall,F1-Score
1,0.5562841530054645,0.5374673877194134,0.5562841530054645,0.46999364241894304
2,0.6486338797814207,0.6305953312673521,0.6486338797814207,0.5736213375184775
3,0.6595628415300546,0.6445825965202231,0.6595628415300546,0.6232546603358211
6,0.6808743169398908,0.6841423581312734,0.6808743169398908,0.6289881927270892
7,0.6710382513661202,0.6385769787421597,0.6710382513661202,0.6497748086354372
8,0.6978142076502732,0.6995588264872139,0.6978142076502732,0.6713477583483397
10,0.7180327868852459,0.6949148852169634,0.7180327868852459,0.6891817456434015
12,0.7524590163934426,0.7607029453944052,0.7524590163934426,0.7413502130661141
18,0.8191256830601092,0.792204536058501,0.8191256830601092,0.799895225790326
22,0.8038251366120218,0.8472149084800655,0.8038251366120218,0.8093808819438766
25,0.8644808743169399,0.8722194126799034,0.8644808743169399,0.8591880773118916
26,0.8628415300546448,0.8707589707086608,0.8628415300546448,0.8600677755684694
28,0.8661202185792349,0.8704181292933834,0.8661202185792349,0.8660930701318638
31,0.8688524590163934,0.8774255999665092,0.8688524590163934,0.866176400053494
32,0.8863387978142077,0.8910047028995354,0.8863387978142077,0.8846865488032777
34,0.8901639344262295,0.8986534413754551,0.8901639344262295,0.8894510094527228
37,0.8918032786885246,0.8989416118529369,0.8918032786885246,0.8911642907937165
44,0.9032786885245901,0.9065421485233003,0.9032786885245901,0.9028775011470878
45,0.9147540983606557,0.9175078874414591,0.9147540983606557,0.913832213544598
50,0.9185792349726776,0.9241363133397871,0.9185792349726776,0.9177877310730255
