Epoch,Accuracy,Precision,Recall,F1-Score
1,0.5366120218579234,0.5035780226305804,0.5366120218579234,0.4512465742877399
2,0.6486338797814207,0.5798250031343364,0.6486338797814207,0.577551012441346
5,0.6568306010928961,0.6275557033275825,0.6568306010928961,0.5855018489110249
6,0.6524590163934426,0.6400275898920239,0.6524590163934426,0.5968754597321594
7,0.6715846994535519,0.6454673850927624,0.6715846994535519,0.6450425513839009
15,0.7027322404371584,0.6891284029514421,0.7027322404371584,0.6589219405198743
16,0.7092896174863388,0.7581613551423454,0.7092896174863388,0.6651649707143125
18,0.7295081967213115,0.7477169736229227,0.7295081967213115,0.6902741587963087
19,0.7366120218579235,0.7742024983208906,0.7366120218579235,0.7029309246723932
20,0.7486338797814208,0.7364507239379964,0.7486338797814208,0.7346631828874274
25,0.774863387978142,0.7803942001896362,0.774863387978142,0.76054346066703
27,0.7934426229508197,0.8428070666089815,0.7934426229508197,0.7765450726015599
29,0.8245901639344262,0.8504502316005176,0.8245901639344262,0.8097427281941197
30,0.8530054644808743,0.8542113798496369,0.8530054644808743,0.8504593020222684
37,0.8650273224043716,0.8709085432959709,0.8650273224043716,0.8629241152932694
39,0.8683060109289618,0.876863263284123,0.8683060109289618,0.8674397524546821
40,0.8770491803278688,0.877233223833361,0.8770491803278688,0.8760286534283057
47,0.8792349726775956,0.8831063828630485,0.8792349726775956,0.8778864423439772
48,0.8846994535519126,0.8893210193746836,0.8846994535519126,0.8833285152211284
49,0.892896174863388,0.8956665662625,0.892896174863388,0.8921467460694862
