epoch,train_loss,val_loss,learning_rate,accuracy,macro_f1,weighted_f1,micro_f1
1,1.3718474832258747,1.2007440733192132,0.001,0.5922221887519956,0.5138519363860942,0.5798633847032645,0.5922221887519956,0.5922221887519956
2,1.102911051208815,0.7661187625773058,0.0009997532801828658,0.7275958670964243,0.6378515708922521,0.7216830801795078,0.7275958670964243,0.7275958670964243
3,1.0144099565174816,0.8092153634451045,0.0009990133642141358,0.7225954152483658,0.655946941972623,0.7204602658384437,0.7225954152483658,0.7225954152483658
4,0.9428692047350081,0.6824709875424138,0.00099778098230154,0.7612133626532518,0.6851344483336536,0.756719603771305,0.7612133626532518,0.7612133626532518
5,0.887854972008495,0.9151757562484037,0.000996057350657239,0.7006054763984697,0.6376797889582607,0.7027555399582234,0.7006054763984697,0.7006054763984697
6,0.8299855486655462,1.0386636274731453,0.0009938441702975688,0.6602102599632497,0.5893889496247181,0.6469649919964185,0.6602102599632497,0.6602102599632497
7,0.780358155973032,0.554329098116638,0.0009911436253643444,0.8057354580233154,0.7429839561601987,0.8009545695787557,0.8057354580233154,0.8057354580233154
8,0.724157802248933,0.5009540618534285,0.0009879583809693736,0.827122932795132,0.7793990817638973,0.8257835459398107,0.827122932795132,0.827122932795132
9,0.7071309082994763,0.40918322895888726,0.0009842915805643154,0.8563725637858842,0.8130950260647528,0.8551898174269706,0.8563725637858842,0.8563725637858842
10,0.6732740032919542,0.48568890826021344,0.0009801468428384714,0.8381781486278881,0.760986457006151,0.8379241186513473,0.8381781486278881,0.8381781486278881
11,0.6402094529549679,0.729028707610364,0.0009755282581475767,0.7602795433322288,0.6652500731467526,0.7513141650664092,0.7602795433322288,0.7602795433322288
12,0.6216190063662076,0.4188667943993868,0.0009704403844771127,0.8551977588336296,0.7947187659736562,0.853508913297592,0.8551977588336296,0.8551977588336296
13,0.6137885264398355,0.44996956823087403,0.0009648882429441257,0.849263487664548,0.8162254434964696,0.8499774071144729,0.849263487664548,0.849263487664548
14,0.5806319327052245,0.34974738014395396,0.0009588773128419905,0.8813145766183691,0.8438721959441334,0.8806169079474834,0.8813145766183691,0.8813145766183691
15,0.5715671765398951,0.4963265696710092,0.0009524135262330098,0.8357080459077627,0.8072786611082474,0.8365843928875786,0.8357080459077627,0.8357080459077627
